CFP,COD_SAP,UNIDADE,CFP_LOCALIDADE,MUNICÍPIO,CÓDIGO_SIAFI_MUNICÍPIO,CÓDIGO_IBGE_MUNICÍPIO,LONGITUDE,LATITUDE,COD_MICRORREGIÃO,NOME_MICRORREGIÃO,COD_MESORREGIÃO,NOME_MESORREGIÃO,REGIÃO ADMINISTRATIVA,REGIÃO DE GOVERNO,REGIÃO METROPOLIATANA
9.14,2052,Escola SENAI SANTO PASCHOAL CREPALDI,914 - PRESIDENTE PRUDENTE,SÃO JOÃO DO PAU D'ALHO,7087,3549300,"-51,66666516","-21,268364",35036,Presidente Prudente,3508,Presidente Prudente,de Presidente Prudente,de Dracena,-
06.04,2037,Escola SENAI MÁRCIO BAGUEIRA LEAL,604 - FRANCA,SÃO JOAQUIM DA BARRA,7089,3549409,"-47,86326807","-20,58316556",35012,Franca,3502,Ribeirão Preto,de Franca,de São Joaquim da Barra,-
06.04,2037,Escola SENAI MÁRCIO BAGUEIRA LEAL,604 - FRANCA,SÃO JOSÉ DA BELA VISTA,7091,3549508,"-47,6409895","-20,59441953",35012,Franca,3502,Ribeirão Preto,de Franca,de Franca,-
3.90,2071,Escola SENAI DE CRUZEIRO,390 - CRUZEIRO,SÃO JOSÉ DO BARREIRO,7093,3549607,"-44,57834096","-22,6464899",35051,Guaratinguetá,3513,Vale do Paraíba Paulista,de São José dos Campos,de Cruzeiro,do Vale do Paraíba e Litoral Norte
5.92,2085,Centro de Treinamento SENAI  - SÃO JOÃO DA BOA VISTA,592 - SÃO JOÃO DA BOA VISTA,SÃO JOSÉ DO RIO PARDO,7095,3549706,"-46,88826589","-21,5961025",35030,São João da Boa Vista,3507,Campinas,de Campinas,de São João da Boa Vista,-
08.01,2030,Escola SENAI ANTONIO DEVISATE,801 - SÃO JOSÉ DO RIO PRETO,SÃO JOSÉ DO RIO PRETO,7097,3549805,"-49,38134769","-20,8126365",35004,São José do Rio Preto,3501,São José do Rio Preto,de São José do Rio Preto,de São José do Rio Preto,-
03.02,2022,Escola SENAI SANTOS DUMONT,302 - SÃO JOSÉ DOS CAMPOS,SÃO JOSÉ DOS CAMPOS,7099,3549904,"-45,8841754","-23,1840615",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de São José dos Campos,do Vale do Paraíba e Litoral Norte
1.38,2108,Escola SENAI RICARDO LENER,138 - COTIA,SÃO LOURENÇO DA SERRA,5447,3549953,"-46,94174972","-23,84908572",35060,Itapecerica da Serra,3515,Metropolitana de São Paulo,-,-,de São Paulo
03.01,2035,Escola SENAI FÉLIX GUISARD,301 - TAUBATÉ,SÃO LUÍS DO PARAITINGA,7101,3550001,"-45,3095445","-23,22187151",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de Taubaté,do Vale do Paraíba e Litoral Norte
7.91,2063,Escola SENAI LUIZ MASSA,791 - BOTUCATU,SÃO MANUEL,7103,3550100,"-48,56876328","-22,73645999",35023,Botucatu,3504,Bauru,de Sorocaba,de Botucatu,-
04.02,2019,Escola SENAI GASPAR RICARDO JÚNIOR,402 - SOROCABA,SÃO MIGUEL ARCANJO,7105,3550209,"-47,99558915","-23,87949",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Itapetininga,de Sorocaba
5.10,2039,Escola SENAI MÁRIO HENRIQUE SIMONSEN,510 - PIRACICABA - JD. PRIMAVERA,SÃO PEDRO,7109,3550407,"-47,914033","-22,548888",35028,Piracicaba,3506,Piracicaba,de Campinas,de Piracicaba,-
7.93,2083,Centro de Treinamento SENAI  - GERALDO VIEIRA MARTINS,793 - SANTA CRUZ DO RIO PARDO,SÃO PEDRO DO TURVO,7111,3550506,"-49,74147616","-22,75125643",35040,Ourinhos,3510,Assis,de Marília,de Ourinhos,-
4.99,2074,Centro de Treinamento SENAI  - MAIRINQUE,499 - MAIRINQUE,SÃO ROQUE,7113,3550605,"-47,13542301","-23,530359",35046,Sorocaba,3512,Macro Metropolitana Paulista,de Sorocaba,de Sorocaba,de Sorocaba
03.02,2022,Escola SENAI SANTOS DUMONT,302 - SÃO JOSÉ DOS CAMPOS,SÃO SEBASTIÃO,7115,3550704,"-45,40268014","-23,80668765",35050,São José dos Campos,3513,Vale do Paraíba Paulista,de São José dos Campos,de Caraguatatuba,do Vale do Paraíba e Litoral Norte
5.92,2085,Centro de Treinamento SENAI  - SÃO JOÃO DA BOA VISTA,592 - SÃO JOÃO DA BOA VISTA,SÃO SEBASTIÃO DA GRAMA,7117,3550803,"-46,82412763","-21,70842079",35030,São João da Boa Vista,3507,Campinas,de Campinas,de São João da Boa Vista,-
06.02,2055,Escola SENAI ENGº. OCTÁVIO MARCONDES FERRAZ,602 - RIBEIRÃO PRETO,SÃO SIMÃO,7119,3550902,"-47,55335254","-21,47972337",35014,Ribeirão Preto,3502,Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto,de Ribeirão Preto
02.01,2061,Escola SENAI ANTÔNIO SOUZA NOSCHESE,201 - SANTOS,SÃO VICENTE,7121,3551009,"-46,38449082","-23,967373",35063,Santos,3515,Metropolitana de São Paulo,de Santos,de Santos,da Baixada Santista
